Time,RSteps,X,Y,Z
595.2554,1,-3172.358,-5686.744,1265.83
595.2354,1,-3172.358,-5686.744,1265.83
595.2153,1,-3172.358,-5686.744,1265.83
595.1953,1,-3172.358,-5686.744,1265.83
595.1753,1,-3172.358,-5686.744,1265.83
595.1553,1,-3172.358,-5686.744,1265.83
595.1353,1,-3172.358,-5686.744,1265.83
595.1152,1,-3172.358,-5686.744,1265.83
595.0952,1,-3172.335,-5686.736,1265.807
595.0752,1,-3172.312,-5686.729,1265.785
595.0552,1,-3172.266,-5686.713,1265.74
595.0352,1,-3172.242,-5686.706,1265.717
595.0151,1,-3172.219,-5686.698,1265.694
594.9951,1,-3172.196,-5686.69,1265.672
594.9751,1,-3172.173,-5686.683,1265.65
594.9551,1,-3172.125,-5686.667,1265.603
594.9351,1,-3172.103,-5686.66,1265.582
594.915,1,-3172.081,-5686.653,1265.56
594.895,1,-3172.057,-5686.645,1265.537
594.875,1,-3172.011,-5686.63,1265.492
594.855,1,-3171.988,-5686.622,1265.469
594.835,1,-3171.965,-5686.615,1265.447
594.8149,1,-3171.942,-5686.607,1265.425
594.7949,1,-3171.919,-5686.6,1265.402
594.7749,1,-3171.872,-5686.584,1265.357
594.7549,1,-3171.848,-5686.577,1265.334
594.7349,1,-3171.826,-5686.569,1265.312
594.7148,1,-3171.802,-5686.562,1265.289
594.6948,1,-3171.78,-5686.554,1265.267
594.6748,1,-3171.734,-5686.539,1265.223
594.6548,1,-3171.711,-5686.531,1265.2
594.6348,1,-3171.688,-5686.524,1265.178
594.6147,1,-3171.657,-5686.514,1265.148
594.5947,1,-3171.633,-5686.506,1265.124
594.5747,1,-3171.61,-5686.499,1265.103
594.5547,1,-3171.564,-5686.483,1265.058
594.5347,1,-3171.541,-5686.476,1265.035
594.5146,1,-3171.518,-5686.468,1265.013
594.4946,1,-3171.495,-5686.46,1264.99
594.4746,1,-3171.472,-5686.453,1264.968
594.4546,1,-3171.425,-5686.438,1264.923
594.4346,1,-3171.403,-5686.43,1264.901
594.4146,1,-3171.383,-5686.424,1264.882
594.3945,1,-3171.383,-5686.424,1264.882
594.3745,1,-3171.383,-5686.424,1264.882
594.3545,1,-3171.383,-5686.424,1264.882
594.3345,1,-3171.383,-5686.424,1264.882
594.3145,1,-3171.383,-5686.424,1264.882
594.2944,1,-3171.383,-5686.424,1264.882
594.2744,1,-3171.383,-5686.424,1264.882
594.2544,1,-3171.383,-5686.424,1264.882
594.2344,1,-3171.383,-5686.424,1264.882
594.2144,1,-3171.383,-5686.424,1264.882
594.1943,1,-3171.383,-5686.424,1264.882
594.1743,1,-3171.383,-5686.424,1264.882
594.1543,1,-3171.383,-5686.424,1264.882
594.1343,1,-3171.383,-5686.424,1264.882
594.1143,1,-3171.383,-5686.424,1264.882
594.0942,1,-3171.383,-5686.424,1264.882
594.0742,1,-3171.383,-5686.424,1264.882
594.0542,1,-3171.383,-5686.424,1264.882
594.0342,1,-3171.383,-5686.424,1264.882
594.0142,1,-3171.383,-5686.424,1264.882
593.9941,1,-3171.383,-5686.424,1264.882
593.9741,1,-3171.383,-5686.424,1264.882
593.9541,1,-3171.383,-5686.424,1264.882
593.9341,1,-3171.383,-5686.424,1264.882
593.9141,1,-3171.383,-5686.424,1264.882
593.894,1,-3171.383,-5686.424,1264.882
593.874,1,-3171.383,-5686.424,1264.882
593.854,1,-3171.383,-5686.424,1264.882
593.834,1,-3171.383,-5686.424,1264.882
593.814,1,-3171.383,-5686.424,1264.882
